GEO_ID,NAME,DP03_0052E,DP03_0052M,DP03_0052PE,DP03_0053E,DP03_0053M,DP03_0053PE,DP03_0054E,DP03_0054M,DP03_0054PE,DP03_0055E,DP03_0055M,DP03_0055PE,DP03_0056E,DP03_0056M,DP03_0056PE,DP03_0057E,DP03_0057M,DP03_0057PE,DP03_0058E,DP03_0058M,DP03_0058PE,DP03_0059E,DP03_0059M,DP03_0059PE,DP03_0060E,DP03_0060M,DP03_0060PE,DP03_0061E,DP03_0061M,DP03_0061PE,DP03_0062E,DP03_0062M,DP03_0062PE,DP03_0088E,DP03_0088M,DP03_0088PE
0500000US24033,"Prince George's County, Maryland",13272,1898,4.2,6359,1358,2.0,14644,2155,4.6,18358,2657,5.8,30032,3203,9.5,53914,3897,17.0,48299,3818,15.3,66279,4020,21.0,33850,3228,10.7,31354,2498,9.9,86290,2875,(X),37618,767,(X)
0500000US24037,"St. Mary's County, Maryland",1931,1024,4.8,818,520,2.0,2824,1105,7.0,1438,774,3.6,3509,1034,8.7,6276,1359,15.6,5640,1497,14.0,7397,1489,18.3,5715,1196,14.2,4772,984,11.8,87947,10780,(X),41402,3930,(X)
0500000US24043,"Washington County, Maryland",2872,908,5.1,2960,914,5.3,5676,1090,10.1,5161,1018,9.2,7114,1340,12.7,9942,1824,17.7,6683,1207,11.9,9006,1459,16.0,3814,896,6.8,2997,794,5.3,59140,4092,(X),30398,1541,(X)
0500000US24045,"Wicomico County, Maryland",1948,755,5.1,1110,564,2.9,4250,1306,11.2,4612,1243,12.1,4644,1236,12.2,7101,1431,18.6,4794,1261,12.6,6065,1295,15.9,1607,567,4.2,1957,707,5.1,54402,5847,(X),28917,2618,(X)
0500000US24510,"Baltimore city, Maryland",29784,2966,12.3,13038,2016,5.4,20774,2536,8.6,25712,3109,10.6,31699,3563,13.1,36662,3235,15.1,24419,2628,10.1,32773,2904,13.5,11308,1534,4.7,16525,1994,6.8,50177,2120,(X),32430,1083,(X)
0500000US25001,"Barnstable County, Massachusetts",2978,851,3.1,2232,814,2.3,4792,1116,5.0,5760,993,6.0,10222,1580,10.6,16508,2115,17.1,13381,1854,13.9,20817,2194,21.6,9511,1360,9.9,10308,1433,10.7,85042,4879,(X),50384,2320,(X)
0500000US25003,"Berkshire County, Massachusetts",2365,630,4.4,2934,785,5.5,5576,1253,10.4,4738,1195,8.8,6403,1273,11.9,10309,1700,19.2,5921,1004,11.0,7916,1247,14.7,4429,927,8.2,3201,710,6.0,58895,3612,(X),36759,2344,(X)
0500000US25005,"Bristol County, Massachusetts",13976,2467,6.3,10372,1862,4.7,20196,2192,9.2,16904,2097,7.7,23190,2496,10.5,31096,2741,14.1,26566,2507,12.0,39132,3242,17.7,20825,2047,9.4,18271,1946,8.3,70402,3622,(X),36343,1049,(X)
0500000US25009,"Essex County, Massachusetts",12847,2235,4.3,11419,1957,3.8,21632,2486,7.3,18406,2137,6.2,26756,2465,9.0,42078,3553,14.1,40725,3844,13.7,48911,3297,16.4,30230,2563,10.1,44894,2915,15.1,83810,3144,(X),45144,1029,(X)
0500000US25011,"Franklin County, Massachusetts",1013,369,3.3,1610,501,5.2,3620,931,11.7,2748,601,8.9,3592,811,11.6,6565,1059,21.2,3330,727,10.8,4988,811,16.1,2142,632,6.9,1319,387,4.3,60018,2352,(X),35575,2065,(X)
0500000US25013,"Hampden County, Massachusetts",12831,1701,7.1,11733,1880,6.5,17544,2140,9.7,15762,2220,8.8,19899,2523,11.1,29856,2839,16.6,20237,2335,11.2,29737,2516,16.5,11536,1586,6.4,10835,1505,6.0,60161,2453,(X),32682,1045,(X)
0500000US25015,"Hampshire County, Massachusetts",3061,1052,5.1,1685,633,2.8,5117,1310,8.5,3751,1046,6.3,6612,1055,11.0,9873,1264,16.5,8333,1490,13.9,11425,1530,19.0,5325,1017,8.9,4820,1019,8.0,74778,4465,(X),35840,1964,(X)
0500000US25017,"Middlesex County, Massachusetts",24245,2830,4.0,16692,2213,2.7,28101,3008,4.6,27525,2915,4.5,44238,4007,7.2,76494,4166,12.5,69210,3920,11.3,116216,4864,19.0,79374,3949,13.0,130271,4614,21.3,107056,2793,(X),55488,1003,(X)
0500000US25021,"Norfolk County, Massachusetts",11115,2165,4.1,7332,1693,2.7,14524,2087,5.4,11007,1655,4.1,20144,2559,7.5,30670,2830,11.4,30238,2563,11.2,55278,4128,20.5,34699,3144,12.9,54710,3074,20.3,107361,4022,(X),55414,1606,(X)
0500000US25023,"Plymouth County, Massachusetts",7113,1749,3.7,7164,1593,3.7,10312,1719,5.4,11705,1945,6.1,14504,1728,7.6,28488,3055,14.9,24724,2941,12.9,37982,2978,19.9,21164,2074,11.1,27885,2300,14.6,90880,2512,(X),45122,2475,(X)
0500000US25025,"Suffolk County, Massachusetts",29117,2495,9.4,16647,2234,5.4,20062,2553,6.5,18205,2047,5.9,24943,3011,8.0,41267,3433,13.3,32571,2897,10.5,47147,3298,15.2,33667,2838,10.9,46319,2958,14.9,77558,3968,(X),46896,1439,(X)
0500000US25027,"Worcester County, Massachusetts",15026,2173,4.8,12997,2043,4.1,20449,2592,6.5,23265,2778,7.4,31583,2623,10.0,47841,3091,15.1,40544,3573,12.8,58086,4292,18.4,32814,2646,10.4,33557,3236,10.6,78345,3440,(X),39098,845,(X)
0500000US26005,"Allegan County, Michigan",1806,724,4.1,1314,607,3.0,3665,944,8.4,4016,1022,9.2,5473,948,12.5,8744,1303,20.0,7060,1147,16.2,8364,1333,19.2,1694,517,3.9,1531,475,3.5,66278,4306,(X),29656,1504,(X)
0500000US26017,"Bay County, Michigan",3261,916,7.3,1648,584,3.7,4084,975,9.1,5611,1235,12.5,8077,1373,18.0,7149,1152,15.9,5973,1046,13.3,5436,1005,12.1,2210,629,4.9,1438,458,3.2,49610,2890,(X),29922,1603,(X)
0500000US26021,"Berrien County, Michigan",4409,1189,7.1,2082,508,3.4,7534,1310,12.2,6526,1165,10.6,10261,1452,16.6,9534,1144,15.4,6216,885,10.1,8748,1335,14.2,3564,789,5.8,2935,578,4.7,50153,2276,(X),32237,3023,(X)
0500000US26025,"Calhoun County, Michigan",3068,729,5.7,2461,832,4.6,5730,1020,10.6,7280,1256,13.5,8768,1384,16.3,8889,1210,16.5,6652,1242,12.4,6929,990,12.9,2014,569,3.7,2036,611,3.8,49055,3626,(X),28175,1773,(X)
0500000US26037,"Clinton County, Michigan",1632,490,5.4,439,285,1.5,1890,585,6.3,2839,761,9.4,3723,549,12.4,5528,868,18.4,3567,657,11.9,5224,854,17.4,2948,646,9.8,2280,598,7.6,69651,6530,(X),34920,1654,(X)
0500000US26045,"Eaton County, Michigan",1164,524,2.6,1255,435,2.8,3030,850,6.8,3870,902,8.7,6188,1020,13.9,9865,1067,22.2,6511,1037,14.7,7873,1120,17.7,2784,721,6.3,1880,596,4.2,65409,4097,(X),34586,1731,(X)
0500000US26049,"Genesee County, Michigan",14576,1941,8.6,8336,1438,4.9,16658,2041,9.8,18497,2156,10.9,25909,2616,15.3,32307,2857,19.1,20352,2063,12.0,19687,2274,11.6,7187,1271,4.2,5738,1099,3.4,50389,1752,(X),28503,1060,(X)
0500000US26055,"Grand Traverse County, Michigan",1087,473,2.9,520,321,1.4,3634,827,9.7,3512,858,9.4,5266,1165,14.1,7342,1193,19.6,6307,1149,16.9,5299,912,14.2,1866,693,5.0,2575,786,6.9,65266,4866,(X),37568,4045,(X)
0500000US26065,"Ingham County, Michigan",8313,1436,7.3,5269,1395,4.6,11866,1655,10.4,12138,1614,10.6,15742,1882,13.7,20670,2028,18.0,13298,1855,11.6,15773,1636,13.8,5927,1057,5.2,5538,957,4.8,54395,2685,(X),30188,1039,(X)
0500000US26073,"Isabella County, Michigan",2848,686,11.5,1526,455,6.2,2984,645,12.1,2946,690,11.9,3064,639,12.4,4271,655,17.3,2898,536,11.7,2397,488,9.7,998,340,4.0,758,367,3.1,45201,3164,(X),23947,1979,(X)
0500000US26075,"Jackson County, Michigan",4375,1108,7.1,3340,785,5.4,5436,1033,8.9,6157,987,10.0,8973,1406,14.6,10251,1472,16.7,10182,1474,16.6,7366,1331,12.0,3178,830,5.2,2145,802,3.5,55124,4113,(X),29209,2193,(X)
